rate,actual_rate_date
8.2855,3/9/2025
9.5405,3/9/2025
5.1706,3/9/2025
7.1089,2/9/2025
8.3276,2/9/2025
9.6358,2/9/2025
5.1744,2/9/2025
7.1072,1/9/2025
8.3129,1/9/2025
9.6061,1/9/2025
5.1774,1/9/2025
7.103,29/8/2025
8.3008,29/8/2025
9.6043,29/8/2025
5.1721,29/8/2025
7.1063,28/8/2025
8.2915,28/8/2025
9.6155,28/8/2025
5.1682,28/8/2025
7.1108,27/8/2025
8.2924,27/8/2025
9.6082,27/8/2025
5.1535,27/8/2025
7.1188,26/8/2025
8.298,26/8/2025
9.6081,26/8/2025
5.1526,26/8/2025
7.1161,25/8/2025
8.3446,25/8/2025
9.6338,25/8/2025
5.1581,25/8/2025
7.1321,22/8/2025
8.298,22/8/2025
9.5967,22/8/2025
5.1445,22/8/2025
7.1287,21/8/2025
8.3287,21/8/2025
9.6237,21/8/2025
5.1547,21/8/2025
7.1384,20/8/2025
8.3243,20/8/2025
9.6509,20/8/2025
5.1615,20/8/2025
7.1359,19/8/2025
8.3427,19/8/2025
9.662,19/8/2025
5.1835,19/8/2025
7.1322,18/8/2025
8.3686,18/8/2025
9.6922,18/8/2025
5.176,18/8/2025
7.1371,15/8/2025
8.3297,15/8/2025
9.6831,15/8/2025
5.1818,15/8/2025
7.1337,14/8/2025
8.3647,14/8/2025
9.7074,14/8/2025
5.1958,14/8/2025
7.135,13/8/2025
8.3464,13/8/2025
9.6521,13/8/2025
5.1914,13/8/2025
7.1418,12/8/2025
8.3142,12/8/2025
9.6176,12/8/2025
5.1979,12/8/2025
7.1405,11/8/2025
8.3349,11/8/2025
9.6234,11/8/2025
5.2051,11/8/2025
7.1382,8/8/2025
8.3381,8/8/2025
9.6106,8/8/2025
5.2029,8/8/2025
7.1345,7/8/2025
8.3291,7/8/2025
9.546,7/8/2025
5.2015,7/8/2025
7.1409,6/8/2025
8.2768,6/8/2025
9.5125,6/8/2025
5.1936,6/8/2025
7.1366,5/8/2025
8.275,5/8/2025
9.5021,5/8/2025
5.1897,5/8/2025
7.1395,4/8/2025
8.2695,4/8/2025
9.4919,4/8/2025
5.189,4/8/2025
7.1496,1/8/2025
8.1885,1/8/2025
9.4701,1/8/2025
5.1757,1/8/2025
7.1494,31/7/2025
8.192,31/7/2025
9.5013,31/7/2025
5.1863,31/7/2025
7.1441,30/7/2025
8.2703,30/7/2025
9.5602,30/7/2025
5.1983,30/7/2025
7.1511,29/7/2025
8.3063,29/7/2025
9.5766,29/7/2025
5.2209,29/7/2025
7.1467,28/7/2025
8.4099,28/7/2025
9.6161,28/7/2025
5.223,28/7/2025
7.1419,25/7/2025
8.4001,25/7/2025
9.6565,25/7/2025
5.2407,25/7/2025
7.1385,24/7/2025
8.4077,24/7/2025
9.7003,24/7/2025
5.2508,24/7/2025
7.1414,23/7/2025
8.392,23/7/2025
9.6662,23/7/2025
5.2556,23/7/2025
7.146,22/7/2025
8.3601,22/7/2025
9.6449,22/7/2025
5.2282,22/7/2025
7.1522,21/7/2025
8.3228,21/7/2025
9.6022,21/7/2025
5.2152,21/7/2025
7.1498,18/7/2025
8.3151,18/7/2025
9.6149,18/7/2025
5.2104,18/7/2025
7.1461,17/7/2025
8.3207,17/7/2025
9.5953,17/7/2025
5.2274,17/7/2025
7.1526,16/7/2025
8.3157,16/7/2025
9.5948,16/7/2025
5.2242,16/7/2025
7.1498,15/7/2025
8.3534,15/7/2025
9.6212,15/7/2025
5.2264,15/7/2025
7.1491,14/7/2025
8.361,14/7/2025
9.6665,14/7/2025
5.2349,14/7/2025
7.1475,11/7/2025
8.3697,11/7/2025
9.7142,11/7/2025
5.2391,11/7/2025
7.151,10/7/2025
8.401,10/7/2025
9.7351,10/7/2025
5.2328,10/7/2025
7.1541,9/7/2025
8.3966,9/7/2025
9.7327,9/7/2025
5.2418,9/7/2025
7.1534,8/7/2025
8.411,8/7/2025
9.7654,8/7/2025
5.2462,8/7/2025
7.1506,7/7/2025
8.4292,7/7/2025
9.7688,7/7/2025
5.261,7/7/2025
7.1535,4/7/2025
8.4228,4/7/2025
9.7836,4/7/2025
5.2751,4/7/2025
7.1523,3/7/2025
8.4463,3/7/2025
9.7696,3/7/2025
5.2684,3/7/2025
7.1546,2/7/2025
8.4451,2/7/2025
9.836,2/7/2025
5.245,2/7/2025
7.1534,1/7/2025
8.4305,1/7/2025
9.8197,1/7/2025
5.2557,1/7/2025
7.1586,30/6/2025
8.4024,30/6/2025
9.83,30/6/2025
5.2358,30/6/2025
7.1627,27/6/2025
8.3768,27/6/2025
9.8345,27/6/2025
5.2519,27/6/2025
7.162,26/6/2025
8.3606,26/6/2025
9.7957,26/6/2025
5.2198,26/6/2025
7.1668,25/6/2025
8.3224,25/6/2025
9.7545,25/6/2025
5.2206,25/6/2025
7.1656,24/6/2025
8.3106,24/6/2025
9.7018,24/6/2025
5.2194,24/6/2025
7.171,23/6/2025
8.2509,23/6/2025
9.6433,23/6/2025
5.225,23/6/2025
7.1695,20/6/2025
8.2603,20/6/2025
9.6701,20/6/2025
5.2392,20/6/2025
7.1729,19/6/2025
8.2395,19/6/2025
9.6315,19/6/2025
5.2438,19/6/2025
7.1761,18/6/2025
8.2558,18/6/2025
9.658,18/6/2025
5.2568,18/6/2025
7.1746,17/6/2025
8.2932,17/6/2025
9.7423,17/6/2025
5.2902,17/6/2025
7.1789,16/6/2025
8.287,16/6/2025
9.7364,16/6/2025
5.2885,16/6/2025
7.1772,13/6/2025
8.3083,13/6/2025
9.7619,13/6/2025
5.2715,13/6/2025
7.1803,12/6/2025
8.2578,12/6/2025
9.7336,12/6/2025
5.2497,12/6/2025
7.1815,11/6/2025
8.2082,11/6/2025
9.6974,11/6/2025
5.2548,11/6/2025
7.184,10/6/2025
8.208,10/6/2025
9.7382,10/6/2025
5.2458,10/6/2025
7.1855,9/6/2025
8.1975,9/6/2025
9.731,9/6/2025
5.2498,9/6/2025
7.1845,6/6/2025
8.2174,6/6/2025
9.743,6/6/2025
5.2486,6/6/2025
7.1865,5/6/2025
8.2045,5/6/2025
9.7323,5/6/2025
5.2491,5/6/2025
7.1886,4/6/2025
8.1853,4/6/2025
9.7324,4/6/2025
5.2461,4/6/2025
7.1869,3/6/2025
8.2169,3/6/2025
9.725,3/6/2025
5.2319,3/6/2025
7.1848,30/5/2025
8.162,30/5/2025
9.6844,30/5/2025
5.1959,30/5/2025
7.1907,29/5/2025
8.1027,29/5/2025
9.6797,29/5/2025
5.2016,29/5/2025
7.1894,28/5/2025
8.1558,28/5/2025
9.7248,28/5/2025
5.2107,28/5/2025
7.1876,27/5/2025
8.1849,27/5/2025
9.7472,27/5/2025
5.2317,27/5/2025
7.1833,26/5/2025
8.1676,26/5/2025
9.7139,26/5/2025
5.2262,26/5/2025
7.1919,23/5/2025
8.1269,23/5/2025
9.6661,23/5/2025
5.1983,23/5/2025
7.1903,22/5/2025
8.1462,22/5/2025
9.6474,22/5/2025
5.1884,22/5/2025
7.1937,21/5/2025
8.1265,21/5/2025
9.6436,21/5/2025
5.178,21/5/2025
7.1931,20/5/2025
8.081,20/5/2025
9.6113,20/5/2025
5.157,20/5/2025
7.1916,19/5/2025
8.055,19/5/2025
9.5776,19/5/2025
5.1609,19/5/2025
7.1938,16/5/2025
8.0573,16/5/2025
9.5785,16/5/2025
5.1596,16/5/2025
7.1963,15/5/2025
8.0564,15/5/2025
9.5542,15/5/2025
5.1557,15/5/2025
7.1956,14/5/2025
8.0358,14/5/2025
9.5533,14/5/2025
5.1537,14/5/2025
7.1991,13/5/2025
8.0017,13/5/2025
9.5047,13/5/2025
5.1623,13/5/2025
7.2066,12/5/2025
8.1074,12/5/2025
9.5915,12/5/2025
5.1864,12/5/2025
7.2095,9/5/2025
8.1118,9/5/2025
9.5724,9/5/2025
5.1959,9/5/2025
7.2073,8/5/2025
8.1596,8/5/2025
9.5949,8/5/2025
5.2197,8/5/2025
7.2005,7/5/2025
8.165,7/5/2025
9.6153,7/5/2025
5.2327,7/5/2025
7.2008,6/5/2025
8.1535,6/5/2025
9.5808,6/5/2025
5.2202,6/5/2025
7.2014,30/4/2025
8.225,30/4/2025
9.6867,30/4/2025
5.2298,30/4/2025
7.2029,29/4/2025
8.237,29/4/2025
9.7016,29/4/2025
5.2297,29/4/2025
7.2043,28/4/2025
8.2125,28/4/2025
9.619,28/4/2025
5.2239,28/4/2025
7.2066,25/4/2025
8.2241,25/4/2025
9.6384,25/4/2025
5.228,25/4/2025
7.2098,24/4/2025
8.2124,24/4/2025
9.6137,24/4/2025
5.231,24/4/2025
7.2116,23/4/2025
8.2496,23/4/2025
9.6399,23/4/2025
5.255,23/4/2025
7.2074,22/4/2025
8.324,22/4/2025
9.6732,22/4/2025
5.2327,22/4/2025
7.2055,21/4/2025
8.2806,21/4/2025
9.6297,21/4/2025
5.238,21/4/2025
7.2069,18/4/2025
8.2318,18/4/2025
9.6023,18/4/2025
5.2355,18/4/2025
7.2085,17/4/2025
8.247,17/4/2025
9.5763,17/4/2025
5.2301,17/4/2025
7.2133,16/4/2025
8.1789,16/4/2025
9.5985,16/4/2025
5.2045,16/4/2025
7.2096,15/4/2025
8.2092,15/4/2025
9.5394,15/4/2025
5.2182,15/4/2025
7.211,14/4/2025
8.222,14/4/2025
9.4723,14/4/2025
5.2262,14/4/2025
7.2087,11/4/2025
8.1339,11/4/2025
9.3897,11/4/2025
5.1835,11/4/2025
7.2092,10/4/2025
7.9462,10/4/2025
9.3127,10/4/2025
5.1496,10/4/2025
7.2066,9/4/2025
7.962,9/4/2025
9.2832,9/4/2025
5.0903,9/4/2025
7.2038,8/4/2025
7.9155,8/4/2025
9.2563,8/4/2025
5.1019,8/4/2025
7.198,7/4/2025
7.9356,7/4/2025
9.3439,7/4/2025
5.0921,7/4/2025
7.1889,3/4/2025
7.8414,3/4/2025
9.3903,3/4/2025
5.065,3/4/2025
7.1793,2/4/2025
7.7826,2/4/2025
9.3163,2/4/2025
5.0508,2/4/2025
